"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",30942.20,24.94,108.53,-1.05%,1690993
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",7267.39,8.31,28.07,0.32%,5297560
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,24.94,-0.04%,4269
4,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,33.19,2.15%,2980018
5,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",295.18,,10.04,0.00%,31050
6,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",29.21,,0.91,-0.65%,10538
7,"AACIU","Armada Acquisition Corp. II","Financial","Shell Companies","USA",,,10.02,0.05%,120630
8,"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",698.40,31.24,11.29,0.00%,349369
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,79.20,-0.47%,1401
10,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",7379.94,12.92,11.19,-1.84%,46775795
11,"AAM","AA Mission Acquisition Corp","Financial","Shell Companies","USA",544.41,49.22,10.35,-0.10%,100095
12,"AAME","Atlantic American Corp","Financial","Insurance - Life","USA",35.08,,1.72,1.18%,7109
13,"AAMI","Acadian Asset Management Inc","Financial","Asset Management","USA",1046.30,12.16,29.23,-0.75%,241373
14,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",993.13,,17.88,1.53%,2237534
15,"AAON","AAON Inc","Industrials","Building Products & Equipment","USA",8063.38,52.06,99.10,-0.84%,291987
16,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA",2916.58,,48.67,-1.02%,9532813
17,"AAPB","GraniteShares 2x Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,18.50,-6.28%,479758
18,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,18.48,3.07%,2833419
19,"AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China",2296.88,,26.48,3.60%,20429
20,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",2916518.84,30.47,195.27,-3.02%,78432918
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","Financial","Exchange Traded Fund","USA",,,26.60,-0.22%,133
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,20.24,-6.17%,6116775
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","Financial","Exchange Traded Fund","USA",,,17.42,-6.37%,229947
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Financial","Exchange Traded Fund","USA",,,20.64,-2.69%,2577
25,"AARD","Aardvark Therapeutics Inc","Healthcare","Biotechnology","USA",227.81,,10.50,4.90%,22053
26,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1164.62,14.38,19.05,-0.26%,309421
27,"AAVM","Alpha Architect Global Factor Equity ETF","Financial","Exchange Traded Fund","USA",,,25.80,0.51%,214
28,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,78.61,0.33%,197521
29,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",4332.79,10.56,39.14,0.77%,193839
30,"ABAT","American Battery Technology Company","Basic Materials","Other Industrial Metals & Mining","USA",121.29,,1.32,2.33%,823695
31,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",323711.00,78.14,183.26,0.39%,4027044
32,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",4218.73,11.36,61.22,-0.15%,370169
33,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",588.01,,1.97,-1.50%,1725039
34,"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Financial","Exchange Traded Fund","USA",,,27.63,-0.32%,5252
35,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",328.43,,6.42,-2.43%,957625
36,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,33.97,0.57%,6873
37,"ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil",39430.69,15.59,2.52,0.40%,22743154
38,"ABFL","Abacus FCF Leaders ETF","Financial","Exchange Traded Fund","USA",,,67.69,0.13%,8410
39,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4427.05,10.72,225.19,-0.63%,137740
40,"ABHY","Abacus Tactical High Yield ETF","Financial","Exchange Traded Fund","USA",,,19.32,-0.05%,211
41,"ABIG","Argent Large Cap ETF","Financial","Exchange Traded Fund","USA",,,28.30,-1.39%,6159
42,"ABL","Abacus Global Management Inc","Financial","Insurance - Life","USA",781.19,,8.17,-0.24%,554139
43,"ABLD","Abacus FCF Real Assets Leaders ETF","Financial","Exchange Traded Fund","USA",,,27.80,-0.33%,2385
